place_name,place_id,address,links_gm,phone,latitude,longitude,text,w_to,day,expire_date,priority,text_id,w_from,price
Траллебус,10100727,"вул. Велика Васильківська, 76а","https://www.google.com.ua/maps/place/%D0%A2%D1%80%D0%B0%D0%BB%D0%BB%D0%B5%D0%B1%D1%83%D1%81/@50.4314435,30.506928,15z/data=!4m8!1m2!2m1!1z0KLRgNCw0LvQu9C10LHRg9GB!3m4!1s0x40d4cee29ff74edd:0xe9626e343f327ba8!8m2!3d50.4314435!4d30.5156827",442895606,50.4314435,30.506928,"Траллебус' - мережа затишних пабів, де вас чекає гарна музика, свіже пиво і невимушений антураж.",00:00,3,,0,10100727,00:00,
Траллебус,10100727,"вул. Велика Васильківська, 76а","https://www.google.com.ua/maps/place/%D0%A2%D1%80%D0%B0%D0%BB%D0%BB%D0%B5%D0%B1%D1%83%D1%81/@50.4314435,30.506928,15z/data=!4m8!1m2!2m1!1z0KLRgNCw0LvQu9C10LHRg9GB!3m4!1s0x40d4cee29ff74edd:0xe9626e343f327ba8!8m2!3d50.4314435!4d30.5156827",442895606,50.4314435,30.506928,"Траллебус' - мережа затишних пабів, де вас чекає гарна музика, свіже пиво і невимушений антураж.",00:00,4,,0,10100727,00:00,
Траллебус,10100727,"вул. Велика Васильківська, 76а","https://www.google.com.ua/maps/place/%D0%A2%D1%80%D0%B0%D0%BB%D0%BB%D0%B5%D0%B1%D1%83%D1%81/@50.4314435,30.506928,15z/data=!4m8!1m2!2m1!1z0KLRgNCw0LvQu9C10LHRg9GB!3m4!1s0x40d4cee29ff74edd:0xe9626e343f327ba8!8m2!3d50.4314435!4d30.5156827",442895606,50.4314435,30.506928,"Траллебус' - мережа затишних пабів, де вас чекає гарна музика, свіже пиво і невимушений антураж.",07:00,0,,0,10100727,00:00,
Траллебус,10100727,"вул. Велика Васильківська, 76а","https://www.google.com.ua/maps/place/%D0%A2%D1%80%D0%B0%D0%BB%D0%BB%D0%B5%D0%B1%D1%83%D1%81/@50.4314435,30.506928,15z/data=!4m8!1m2!2m1!1z0KLRgNCw0LvQu9C10LHRg9GB!3m4!1s0x40d4cee29ff74edd:0xe9626e343f327ba8!8m2!3d50.4314435!4d30.5156827",442895606,50.4314435,30.506928,"Траллебус' - мережа затишних пабів, де вас чекає гарна музика, свіже пиво і невимушений антураж.",23:00,1,,0,10100727,00:00,
Траллебус,10100727,"вул. Велика Васильківська, 76а","https://www.google.com.ua/maps/place/%D0%A2%D1%80%D0%B0%D0%BB%D0%BB%D0%B5%D0%B1%D1%83%D1%81/@50.4314435,30.506928,15z/data=!4m8!1m2!2m1!1z0KLRgNCw0LvQu9C10LHRg9GB!3m4!1s0x40d4cee29ff74edd:0xe9626e343f327ba8!8m2!3d50.4314435!4d30.5156827",442895606,50.4314435,30.506928,"Траллебус' - мережа затишних пабів, де вас чекає гарна музика, свіже пиво і невимушений антураж.",00:00,5,,0,10100727,00:00,
Траллебус,10100727,"вул. Велика Васильківська, 76а","https://www.google.com.ua/maps/place/%D0%A2%D1%80%D0%B0%D0%BB%D0%BB%D0%B5%D0%B1%D1%83%D1%81/@50.4314435,30.506928,15z/data=!4m8!1m2!2m1!1z0KLRgNCw0LvQu9C10LHRg9GB!3m4!1s0x40d4cee29ff74edd:0xe9626e343f327ba8!8m2!3d50.4314435!4d30.5156827",442895606,50.4314435,30.506928,"Траллебус' - мережа затишних пабів, де вас чекає гарна музика, свіже пиво і невимушений антураж.",23:00,2,,0,10100727,00:00,
Petrus-ь,10100057,"вул. Еспланадна, 28","https://www.google.com.ua/maps/place/Petrus-%D1%8C/@50.437124,30.5181563,17z/data=!3m1!4b1!4m5!3m4!1s0x40d4ceffaee65193:0x4f9a05ad449958a1!8m2!3d50.437124!4d30.520345",442871539,50.437206,30.520495,"Інтер’єр ресторану нагадує затишну обстановку київського будинку початку 20 століття. Це прекрасне місце для душевних зустрічей, довгих розмов, сімейних обідів. Живі квіти, кокетливі деталі і навіть справжня консервація – все це огортає атмосферою тепла і комфорту.",06:00,6,,0,10100057,00:00,
Petrus-ь,10100057,"вул. Еспланадна, 28","https://www.google.com.ua/maps/place/Petrus-%D1%8C/@50.437124,30.5181563,17z/data=!3m1!4b1!4m5!3m4!1s0x40d4ceffaee65193:0x4f9a05ad449958a1!8m2!3d50.437124!4d30.520345",442871539,50.437206,30.520495,"Інтер’єр ресторану нагадує затишну обстановку київського будинку початку 20 століття. Це прекрасне місце для душевних зустрічей, довгих розмов, сімейних обідів. Живі квіти, кокетливі деталі і навіть справжня консервація – все це огортає атмосферою тепла і комфорту.",23:00,2,,0,10100057,00:00,
Petrus-ь,10100057,"вул. Еспланадна, 28","https://www.google.com.ua/maps/place/Petrus-%D1%8C/@50.437124,30.5181563,17z/data=!3m1!4b1!4m5!3m4!1s0x40d4ceffaee65193:0x4f9a05ad449958a1!8m2!3d50.437124!4d30.520345",442871539,50.437206,30.520495,"Інтер’єр ресторану нагадує затишну обстановку київського будинку початку 20 століття. Це прекрасне місце для душевних зустрічей, довгих розмов, сімейних обідів. Живі квіти, кокетливі деталі і навіть справжня консервація – все це огортає атмосферою тепла і комфорту.",23:00,4,,0,10100057,00:00,
Petrus-ь,10100057,"вул. Еспланадна, 28","https://www.google.com.ua/maps/place/Petrus-%D1%8C/@50.437124,30.5181563,17z/data=!3m1!4b1!4m5!3m4!1s0x40d4ceffaee65193:0x4f9a05ad449958a1!8m2!3d50.437124!4d30.520345",442871539,50.437206,30.520495,"Інтер’єр ресторану нагадує затишну обстановку київського будинку початку 20 століття. Це прекрасне місце для душевних зустрічей, довгих розмов, сімейних обідів. Живі квіти, кокетливі деталі і навіть справжня консервація – все це огортає атмосферою тепла і комфорту.",23:00,1,,0,10100057,00:00,
